OBJECTID,NEIGH_NO,Neighborhood Name,Neighborhood Type,Neighborhood Subtype,ACS Vinatage,Population 18 years and Over,Population 18 to 64 years,Population 18 to 64 years Below Poverty with a Disability,Population 18 to 64 years Below Poverty without a Disability,Population 18 to 64 years Above Poverty with a Disability,Population 18 to 64 years Above Poverty without a Disability,Population 65 years and Over,Population 65 years and Over Below Poverty with a Disability,Population 65 years and Over Below Poverty without a Disability,Population 65 years and Over Above Poverty with a Disability,Population 65 years and Over Above Poverty without a Disability,Population 18 years and Over with a Disability,Population 18 to 64 years with a Disability,Population 65 years and Over with a Disability,Population Civilian Noninstitutionalized,Population under 19 years with Health Insurance,Population under 19 years without Health Insurance,Population 19 to 34 years with Health Insurance,Population 19 to 34 years without Health Insurance,Population 35 to 64 years with Health Insurance,Population 35 to 64 years without Health Insurance,Population 65 years and Over with Health Insurance,Population 65 years and Over without Health Insurance,Population without Health Insurance,Population under 19 years,Population 19 to 34 years,Population 35 to 64 years,Population 65 years and Over,Households,Households with 1 or more persons with a disability,Neighborhood Type (outside comp plan areas id)
1,1.4,Alki/Admiral,CRA,Southwest,5Y23,10131,7910,105,323,485,6997,2221,9,33,503,1676,1102,590,512,11920,1862,0,2172,59,5218,388,2221,0,447,1862,2231,5606,2221,5595,865,CRA
2,2.1,North Delridge,CRA,Delridge Neighborhoods,5Y23,5213,4629,28,408,316,3877,584,11,12,136,425,491,344,147,5743,558,0,1621,163,2460,357,584,0,520,558,1784,2817,584,3079,452,CRA
3,2.2,High Point,CRA,Delridge Neighborhoods,5Y23,6828,6084,128,584,398,4974,744,73,39,274,358,873,526,347,9194,2392,15,2505,90,3274,174,744,0,279,2407,2595,3448,744,3709,756,CRA
4,2.3,Riverview,CRA,Delridge Neighborhoods,5Y23,3940,3497,29,147,189,3132,443,22,53,80,288,320,218,102,5014,1114,1,1070,18,2315,53,437,6,78,1115,1088,2368,443,1878,329,CRA
5,2.4,Roxhill/Westwood,CRA,Delridge Neighborhoods,5Y23,11602,10014,397,454,606,8557,1588,119,90,550,829,1672,1003,669,13964,2501,58,3109,496,5771,441,1540,48,1043,2559,3605,6212,1588,5825,1171,CRA
6,2.5,Highland Park,CRA,Delridge Neighborhoods,5Y23,6641,5365,103,327,419,4516,1276,41,62,441,732,1004,522,482,8131,1556,57,1677,104,3183,278,1215,61,500,1613,1781,3461,1276,3253,834,CRA
7,3.1,South Park,CRA,Greater Duwamish,5Y23,2933,2647,178,310,186,1973,286,7,43,161,75,532,364,168,3916,1028,0,767,257,1358,220,279,7,484,1028,1024,1578,286,1482,398,CRA
8,3.2,Georgetown,CRA,Greater Duwamish,5Y23,1066,912,13,94,44,761,154,0,8,49,97,106,57,49,1181,120,0,241,61,521,84,154,0,145,120,302,605,154,702,96,CRA
9,3.3,Duwamish/SODO,CRA,Greater Duwamish,5Y23,2926,2417,42,253,107,2015,509,27,61,144,277,320,149,171,3170,244,0,961,113,1213,130,494,15,258,244,1074,1343,509,1628,256,CRA
10,3.4,South Beacon Hill/NewHolly,CRA,Greater Duwamish,5Y23,12499,9903,259,1385,598,7661,2596,283,444,733,1136,1873,857,1016,15593,3141,86,3559,404,5405,402,2560,36,928,3227,3963,5807,2596,4920,1433,CRA
11,3.5,Beacon Hill,CRA,Greater Duwamish,5Y23,7536,5746,45,421,316,4964,1790,189,132,310,1159,860,361,499,9332,1738,152,1523,173,3415,541,1790,0,866,1890,1696,3956,1790,3009,641,CRA
12,3.6,North Beacon Hill/Jefferson Park,CRA,Greater Duwamish,5Y23,13348,10939,255,811,649,9224,2409,247,203,1106,853,2257,904,1353,15170,1888,21,4723,457,5357,315,2408,1,794,1909,5180,5672,2409,7191,1776,CRA
