OBJECTID,NEIGH_NO,Neighborhood Name,Neighborhood Type,Neighborhood Subtype,ACS Vinatage,Population 16 years and over,Population 16 years and over not in labor force,Population 16 years and over in civilian labor force,Population 16 years and over in civilian labor force unemployed,Population for whom poverty status is determined,People with Income to Poverty Ratio Under .50,People with Income to Poverty .50 to .99,People with Income to Poverty 1.00 to 1.24,People with Income to Poverty 1.25 to 1.49,People with Income to Poverty 1.50 to 1.84,People with Income to Poverty 1.85 to 1.99,People with Income to Poverty 2.00 and over,Families for whom poverty status is determined,Families with income in the past 12 months below poverty level,Married-couple family with related children of the householder under 18 years below poverty,Married-couple family without related children of the householder under 18 years below poverty,Single parents with related children of the householder under 18 years below poverty,Other family below poverty,Population 20 to 64 years for whom poverty status is determined,Population 20 to 64 years below poverty,Population 20 to 64 years employed,Population 20 to 64 years below poverty employed,People with Income to Poverty below 2.00,Population 20 to 64 years in civilian labor force,Population 20 to 64 years in civilian labor force below poverty,Population 20 to 64 years not in labor force,Population 20 to 64 years not in labor force below poverty,Population 20 to 64 years unemployed,Population 20 to 64 years unemployed below poverty,Neighborhood Type (outside comp plan areas id)
1,8.2,Olympic Hills/Victory Heights,CRA,North,5Y23,14516,3751,10745,574,17039,670,717,376,426,594,168,14088,3765,156,0,29,67,60,11633,887,9637,392,2951,10165,594,1448,293,528,202,CRA
2,8.3,Cedar Park/Meadowbrook,CRA,North,5Y23,12513,3677,8836,259,14445,498,824,497,287,582,119,11638,3442,169,54,28,49,38,9389,843,7774,250,2807,7985,321,1404,522,211,71,CRA
3,9.1,Broadview/Bitter Lake,CRA,Northwest,5Y23,13260,4753,8507,356,15645,676,1105,173,291,898,118,12384,3478,242,9,49,161,23,9295,861,7454,285,3261,7776,371,1519,490,322,86,CRA
4,9.2,Licton Springs,CRA,Northwest,5Y23,8798,1895,6903,267,9597,631,429,145,310,411,155,7516,1580,92,0,13,13,66,7609,712,6339,201,2081,6601,301,1008,411,262,100,CRA
5,9.3,Greenwood/Phinney Ridge,CRA,Northwest,5Y23,23396,4985,18381,565,26912,854,371,241,395,417,335,24299,6376,117,35,12,65,5,19323,886,16629,324,2613,17105,456,2188,430,476,132,CRA
6,9.4,Green Lake,CRA,Northwest,5Y23,15265,3477,11779,498,17425,513,784,338,463,431,96,14800,3726,92,7,9,50,26,12509,966,10702,289,2625,11200,441,1300,525,498,152,CRA
7,9.5,Haller Lake,CRA,Northwest,5Y23,8986,2220,6766,316,10866,512,325,103,126,156,89,9555,2632,127,51,0,76,0,7420,433,6080,264,1311,6364,342,1056,91,284,78,CRA
8,10.1,North Beach/Blue Ridge,CRA,Ballard,5Y23,10485,2784,7654,343,12716,252,601,83,141,144,112,11383,3294,136,30,0,36,70,8116,690,6776,278,1333,7119,444,950,246,343,166,CRA
9,10.2,Whittier Heights,CRA,Ballard,5Y23,12384,2446,9938,173,14552,402,522,48,159,258,107,13056,3363,107,0,0,55,52,10946,750,9445,307,1496,9609,376,1337,374,164,69,CRA
10,10.3,Sunset Hill/Loyal Heights,CRA,Ballard,5Y23,13443,3746,9638,307,16151,221,404,172,67,164,110,15013,3652,95,11,14,70,0,10227,323,8635,152,1138,8883,152,1285,171,248,0,CRA
11,10.4,Ballard,CRA,Ballard,5Y23,10105,1484,8621,557,11165,470,261,110,62,106,23,10133,1641,23,0,0,23,0,9111,651,7915,188,1032,8472,449,639,202,557,261,CRA
